Geo_FIPS,County,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,"  
Persons with Limited Access to Healthy Foods",Persons with Access to Exercise Opportunities,Obese Persons (20 Years and Over),Physically Inactive Persons (20 Years and Over),Children Eligible for Free Lunch (Persons < 18 Years)
34001,Atlantic County,"Atlantic County, New Jersey",0,34,1,7.823757789,93.1243489,32.4,22.5,53.12372495
34003,Bergen County,"Bergen County, New Jersey",0,34,3,0.894750572,99.46020433,22.9,18.2,19.03085618
34005,Burlington County,"Burlington County, New Jersey",0,34,5,5.032445359,93.02905642,30,18.4,24.66448985
34007,Camden County,"Camden County, New Jersey",0,34,7,4.45228809,93.51710173,30.9,21.9,43.62750768
34009,Cape May County,"Cape May County, New Jersey",0,34,9,8.743702214,89.72108794,29.4,19.2,35.45508125
34011,Cumberland County,"Cumberland County, New Jersey",0,34,11,11.68432198,86.71051949,35.7,30.8,50.20419154
34013,Essex County,"Essex County, New Jersey",0,34,13,0.748623168,99.70534705,29.1,25.5,52.42304176
34015,Gloucester County,"Gloucester County, New Jersey",0,34,15,6.468941747,88.24091778,32.1,18.7,24.81247533
34017,Hudson County,"Hudson County, New Jersey",0,34,17,0.11893296,100,25.7,25.2,57.05289987
34019,Hunterdon County,"Hunterdon County, New Jersey",0,34,19,2.632977115,91.46626133,25.1,14.9,10.06171791
34021,Mercer County,"Mercer County, New Jersey",0,34,21,3.669639075,99.43951051,28.4,20.3,35.33769845
34023,Middlesex County,"Middlesex County, New Jersey",0,34,23,3.902510885,97.13958678,23.3,20.3,34.43396591
34025,Monmouth County,"Monmouth County, New Jersey",0,34,25,4.699975507,96.01065855,22.1,18.5,22.89770064
34027,Morris County,"Morris County, New Jersey",0,34,27,3.684001916,98.54168098,19.9,14.6,13.51744387
34029,Ocean County,"Ocean County, New Jersey",0,34,29,8.86503507,90.18123783,30.8,19.8,33.83592084
34031,Passaic County,"Passaic County, New Jersey",0,34,31,1.82566343,98.88479312,29.5,27.9,55.25179162
34033,Salem County,"Salem County, New Jersey",0,34,33,8.427133293,59.3010164,35.3,24.8,38.90385509
34035,Somerset County,"Somerset County, New Jersey",0,34,35,3.204228014,96.54072116,24.3,16,20.40639111
34037,Sussex County,"Sussex County, New Jersey",0,34,37,5.345859088,93.12374758,28.2,18,16.93180028
34039,Union County,"Union County, New Jersey",0,34,39,0.943538447,99.76848673,29.5,23.9,42.25310498
34041,Warren County,"Warren County, New Jersey",0,34,41,7.819101071,89.37354057,30.5,19.7,26.91906005
